feature,model,cv,rmse,mae,r2
spectral,ridge,loco,1907.781,1498.1962,-0.0926
spectral,ridge,random,1641.9434,1308.6879,0.1907
spectral,rf,loco,1890.6955,1547.5803,-0.0731
spectral,rf,random,1539.1073,1185.9294,0.2889
spectral,xgb,loco,1885.9522,1536.8183,-0.0677
spectral,xgb,random,1536.7072,1211.1272,0.2911
prithvi,ridge,loco,1849.5293,1494.0114,-0.0269
prithvi,ridge,random,1652.7443,1318.2497,0.18
prithvi,rf,loco,1885.7555,1551.5955,-0.0675
prithvi,rf,random,1533.4193,1188.1444,0.2941
prithvi,xgb,loco,1879.4292,1531.9096,-0.0604
prithvi,xgb,random,1527.009,1197.2737,0.3
vit,ridge,loco,1857.9705,1508.2456,-0.0363
vit,ridge,random,1663.7843,1325.3918,0.169
vit,rf,loco,1863.0993,1536.1636,-0.042
vit,rf,random,1621.3268,1273.1963,0.2109
vit,xgb,loco,1861.6845,1524.8288,-0.0404
vit,xgb,random,1612.8239,1272.9683,0.2191
