feature,model,cv,country,n_test,rmse,mae,r2
spectral,ridge,loco,Nigeria,955,1756.8492,1479.2607,-1.0703
spectral,ridge,loco,Tanzania,1363,1695.4079,1394.0102,-0.0332
spectral,ridge,loco,Malawi,1552,1645.644,1406.4284,-0.4533
spectral,ridge,loco,Rwanda,1138,2746.7907,2024.8235,-1.1496
spectral,ridge,loco,Kenya,1396,1617.7841,1285.5963,-0.034
spectral,rf,loco,Nigeria,955,1879.035,1671.4582,-1.3683
spectral,rf,loco,Tanzania,1363,1765.0266,1396.5328,-0.1198
spectral,rf,loco,Malawi,1552,1955.2557,1677.0175,-1.0515
spectral,rf,loco,Rwanda,1138,2120.4493,1673.8855,-0.281
spectral,rf,loco,Kenya,1396,1739.5555,1363.4488,-0.1955
spectral,xgb,loco,Nigeria,955,1813.3218,1600.8738,-1.2055
spectral,xgb,loco,Tanzania,1363,1805.063,1433.358,-0.1712
spectral,xgb,loco,Malawi,1552,1899.5705,1631.7598,-0.9363
spectral,xgb,loco,Rwanda,1138,2139.7956,1670.3149,-0.3045
spectral,xgb,loco,Kenya,1396,1772.5021,1379.6372,-0.2412
prithvi,ridge,loco,Nigeria,955,1638.1792,1356.0723,-0.8
prithvi,ridge,loco,Tanzania,1363,1800.1969,1442.6111,-0.1649
prithvi,ridge,loco,Malawi,1552,1850.2554,1584.6092,-0.8371
prithvi,ridge,loco,Rwanda,1138,2146.7274,1667.8598,-0.313
prithvi,ridge,loco,Kenya,1396,1769.0823,1396.1197,-0.2364
prithvi,rf,loco,Nigeria,955,1986.4665,1802.3946,-1.6468
prithvi,rf,loco,Tanzania,1363,1734.5919,1386.959,-0.0815
prithvi,rf,loco,Malawi,1552,1966.981,1683.9728,-1.0762
prithvi,rf,loco,Rwanda,1138,2039.7819,1589.3569,-0.1854
prithvi,rf,loco,Kenya,1396,1727.0839,1362.8166,-0.1784
prithvi,xgb,loco,Nigeria,955,1896.7533,1696.4238,-1.4131
prithvi,xgb,loco,Tanzania,1363,1746.8678,1371.4453,-0.0969
prithvi,xgb,loco,Malawi,1552,1940.8949,1646.8756,-1.0215
prithvi,xgb,loco,Rwanda,1138,2054.1919,1599.4052,-0.2022
prithvi,xgb,loco,Kenya,1396,1770.7017,1393.2022,-0.2387
vit,ridge,loco,Nigeria,955,1730.4441,1495.4146,-1.0085
vit,ridge,loco,Tanzania,1363,1772.167,1417.7869,-0.1289
vit,ridge,loco,Malawi,1552,1810.7036,1567.0076,-0.7594
vit,ridge,loco,Rwanda,1138,2260.9746,1776.7263,-0.4564
vit,ridge,loco,Kenya,1396,1705.532,1321.1533,-0.1492
vit,rf,loco,Nigeria,955,1817.0999,1627.2402,-1.2147
vit,rf,loco,Tanzania,1363,1688.9906,1360.6287,-0.0254
vit,rf,loco,Malawi,1552,1944.5802,1700.0825,-1.0292
vit,rf,loco,Rwanda,1138,2188.8095,1711.4025,-0.3649
vit,rf,loco,Kenya,1396,1664.3363,1320.1552,-0.0944
vit,xgb,loco,Nigeria,955,1744.73,1541.4524,-1.0418
vit,xgb,loco,Tanzania,1363,1761.8495,1404.4173,-0.1158
vit,xgb,loco,Malawi,1552,1881.7985,1635.6335,-0.9003
vit,xgb,loco,Rwanda,1138,2214.8699,1738.8118,-0.3976
vit,xgb,loco,Kenya,1396,1688.2587,1333.3987,-0.126
